"county_areas","region","date","month","year","quarter","homicide_uns","offences_against_the_person_uns","sexual_offences_uns","burglary_uns","robbery_uns","theft_and_handling_uns","fraud_and_forgery_uns","criminal_damage_uns","drugs_offences_uns","public_order_offences_uns","all_other_offences_uns","motoring_offences_uns","admin_finalised_uns"
"Hertfordshire","Thames and Chiltern","2014-02-01","Feb",2014,"Q1_2014",0,29,2,3,0,11,4,8,5,9,4,13,12
"Humberside","Yorkshire and Humberside","2014-02-01","Feb",2014,"Q1_2014",0,38,9,3,4,14,0,4,3,14,6,16,16
"Kent","South East","2014-02-01","Feb",2014,"Q1_2014",1,94,5,5,1,58,5,21,8,16,39,43,35
"Lancashire","North West","2014-02-01","Feb",2014,"Q1_2014",0,101,10,8,0,32,2,20,10,12,19,35,29
"Leicestershire","East Midlands","2014-02-01","Feb",2014,"Q1_2014",0,40,3,4,1,21,0,9,5,8,2,17,35
"Lincolnshire","East Midlands","2014-02-01","Feb",2014,"Q1_2014",0,25,2,7,0,6,1,2,2,10,4,24,14
"Merseyside","Mersey-Cheshire","2014-02-01","Feb",2014,"Q1_2014",1,66,3,5,5,14,1,7,14,21,23,32,25
"Metropolitan and City","Greater London","2014-02-01","Feb",2014,"Q1_2014",6,589,77,67,55,164,25,81,79,150,123,423,194
"Norfolk","East of England","2014-02-01","Feb",2014,"Q1_2014",0,41,2,3,0,10,1,3,2,8,4,12,8
"Northamptonshire","East Midlands","2014-02-01","Feb",2014,"Q1_2014",0,31,3,2,2,13,2,8,4,7,6,8,27
"Northumbria","North East","2014-02-01","Feb",2014,"Q1_2014",0,91,4,13,4,57,8,15,14,28,55,42,9
"North Wales","Cymru/Wales","2014-02-01","Feb",2014,"Q1_2014",1,35,5,3,1,11,0,2,3,6,12,19,4
"North Yorkshire","Yorkshire and Humberside","2014-02-01","Feb",2014,"Q1_2014",0,33,0,8,0,9,2,2,3,12,2,9,7
"Nottinghamshire","East Midlands","2014-02-01","Feb",2014,"Q1_2014",0,53,4,4,1,23,1,11,6,22,12,14,12
"South Wales","Cymru/Wales","2014-02-01","Feb",2014,"Q1_2014",0,81,6,3,6,10,1,3,2,21,9,77,9
"South Yorkshire","Yorkshire and Humberside","2014-02-01","Feb",2014,"Q1_2014",0,71,3,7,2,27,4,8,8,8,9,27,12
"Staffordshire","West Midlands","2014-02-01","Feb",2014,"Q1_2014",0,70,4,5,3,22,2,11,8,24,6,38,8
"Suffolk","East of England","2014-02-01","Feb",2014,"Q1_2014",1,27,2,2,0,5,1,4,0,11,0,10,11
"Surrey","South East","2014-02-01","Feb",2014,"Q1_2014",0,39,4,1,0,11,2,3,2,7,19,13,21
"Sussex","South East","2014-02-01","Feb",2014,"Q1_2014",0,75,6,5,2,17,4,10,3,15,33,22,13
"Thames Valley","Thames and Chiltern","2014-02-01","Feb",2014,"Q1_2014",0,116,7,4,3,38,12,10,9,25,14,43,29
"Warwickshire","West Midlands","2014-02-01","Feb",2014,"Q1_2014",0,13,0,5,2,3,1,0,1,1,1,21,3
"West Mercia","West Midlands","2014-02-01","Feb",2014,"Q1_2014",1,37,7,2,5,8,1,5,1,15,5,33,7
"West Midlands","West Midlands","2014-02-01","Feb",2014,"Q1_2014",0,191,11,22,16,47,4,28,17,27,36,48,40
"West Yorkshire","Yorkshire and Humberside","2014-02-01","Feb",2014,"Q1_2014",2,118,11,14,3,43,5,22,11,36,15,53,32
"Wiltshire","Oxfordshire","2014-02-01","Feb",2014,"Q1_2014",0,17,1,0,3,5,2,1,2,1,10,12,5
"Avon and Somerset","South West","2014-03-01","Mar",2014,"Q1_2014",0,65,16,3,3,44,0,14,8,23,8,78,19
"Bedfordshire","Thames and Chiltern","2014-03-01","Mar",2014,"Q1_2014",0,37,0,4,0,21,1,4,7,8,2,15,8
"Cambridgeshire","East of England","2014-03-01","Mar",2014,"Q1_2014",0,25,0,3,1,8,1,6,1,5,6,10,7
"Cheshire","Mersey-Cheshire","2014-03-01","Mar",2014,"Q1_2014",0,42,6,2,2,8,4,5,4,8,9,16,4
"Cleveland","North East","2014-03-01","Mar",2014,"Q1_2014",0,39,4,5,8,22,4,14,10,24,11,7,3
"Cumbria","North West","2014-03-01","Mar",2014,"Q1_2014",0,17,2,2,0,1,0,5,1,2,3,13,8
"Derbyshire","East Midlands","2014-03-01","Mar",2014,"Q1_2014",0,55,3,4,1,19,0,9,8,4,9,15,18
"Devon and Cornwall","South West","2014-03-01","Mar",2014,"Q1_2014",1,80,2,7,0,8,2,12,6,15,15,31,6
"Dorset","Oxfordshire","2014-03-01","Mar",2014,"Q1_2014",0,24,4,0,0,13,0,6,3,6,4,17,9
"Durham","North East","2014-03-01","Mar",2014,"Q1_2014",0,32,5,5,1,14,1,9,2,15,2,7,0
"Dyfed Powys","Cymru/Wales","2014-03-01","Mar",2014,"Q1_2014",0,14,2,2,0,10,0,5,5,9,2,15,5
"Essex","East of England","2014-03-01","Mar",2014,"Q1_2014",0,73,6,3,2,21,4,11,4,8,7,19,14
"Gloucestershire","South West","2014-03-01","Mar",2014,"Q1_2014",0,14,1,1,0,8,0,1,3,4,1,8,7
"GreaterManchester","North West","2014-03-01","Mar",2014,"Q1_2014",1,157,36,5,4,20,10,19,13,27,13,62,29
"Gwent","Cymru/Wales","2014-03-01","Mar",2014,"Q1_2014",0,17,5,6,2,9,1,10,10,12,8,17,3
"Hampshire","Oxfordshire","2014-03-01","Mar",2014,"Q1_2014",1,108,21,8,4,23,5,13,6,29,21,25,14
"Hertfordshire","Thames and Chiltern","2014-03-01","Mar",2014,"Q1_2014",2,52,6,7,2,21,13,4,9,22,9,42,9
"Humberside","Yorkshire and Humberside","2014-03-01","Mar",2014,"Q1_2014",0,41,6,2,4,12,1,5,4,21,8,21,10
"Kent","South East","2014-03-01","Mar",2014,"Q1_2014",0,85,2,6,1,37,2,12,7,7,30,18,30
"Lancashire","North West","2014-03-01","Mar",2014,"Q1_2014",0,102,10,12,4,35,1,17,9,20,16,43,14
"Leicestershire","East Midlands","2014-03-01","Mar",2014,"Q1_2014",0,63,6,6,3,18,0,7,6,12,5,23,5
"Lincolnshire","East Midlands","2014-03-01","Mar",2014,"Q1_2014",2,20,1,0,0,11,1,1,2,8,4,16,9
"Merseyside","Mersey-Cheshire","2014-03-01","Mar",2014,"Q1_2014",0,66,8,1,4,12,1,11,20,17,20,29,14
"Metropolitan and City","Greater London","2014-03-01","Mar",2014,"Q1_2014",7,607,67,50,54,152,25,67,58,125,92,388,200
"Norfolk","East of England","2014-03-01","Mar",2014,"Q1_2014",0,42,4,3,1,17,3,5,4,14,16,20,12
"Northamptonshire","East Midlands","2014-03-01","Mar",2014,"Q1_2014",0,38,2,3,0,13,2,5,0,6,8,8,9
"Northumbria","North East","2014-03-01","Mar",2014,"Q1_2014",0,99,12,8,0,60,5,25,10,48,61,49,15
"North Wales","Cymru/Wales","2014-03-01","Mar",2014,"Q1_2014",0,34,3,3,1,7,2,3,3,9,3,12,4
"North Yorkshire","Yorkshire and Humberside","2014-03-01","Mar",2014,"Q1_2014",0,33,0,1,1,6,1,8,1,6,3,12,9
"Nottinghamshire","East Midlands","2014-03-01","Mar",2014,"Q1_2014",0,53,2,12,2,23,1,8,6,10,20,26,13
"South Wales","Cymru/Wales","2014-03-01","Mar",2014,"Q1_2014",0,117,7,3,1,17,2,8,4,17,6,75,13
"South Yorkshire","Yorkshire and Humberside","2014-03-01","Mar",2014,"Q1_2014",0,56,3,2,3,18,1,13,4,10,5,27,12
"Staffordshire","West Midlands","2014-03-01","Mar",2014,"Q1_2014",1,70,2,3,0,25,0,10,5,23,5,28,0
"Suffolk","East of England","2014-03-01","Mar",2014,"Q1_2014",0,39,3,2,0,0,1,5,1,2,5,10,4
"Surrey","South East","2014-03-01","Mar",2014,"Q1_2014",0,74,6,7,0,35,3,11,5,33,27,17,18
"Sussex","South East","2014-03-01","Mar",2014,"Q1_2014",1,97,7,0,4,26,2,7,8,15,14,15,14
"Thames Valley","Thames and Chiltern","2014-03-01","Mar",2014,"Q1_2014",6,143,9,7,1,32,6,6,10,43,13,52,27
"Warwickshire","West Midlands","2014-03-01","Mar",2014,"Q1_2014",0,10,4,2,0,8,0,2,0,1,5,13,1
"West Mercia","West Midlands","2014-03-01","Mar",2014,"Q1_2014",0,37,6,4,0,12,1,5,1,6,7,17,1
"West Midlands","West Midlands","2014-03-01","Mar",2014,"Q1_2014",0,211,13,18,23,57,3,24,14,19,28,44,10
"West Yorkshire","Yorkshire and Humberside","2014-03-01","Mar",2014,"Q1_2014",0,122,15,15,6,34,3,14,10,23,8,53,21
"Wiltshire","Oxfordshire","2014-03-01","Mar",2014,"Q1_2014",0,23,3,2,1,6,1,6,3,1,2,12,5
"Avon and Somerset","South West","2014-04-01","Apr",2014,"Q2_2014",0,45,8,2,3,21,0,6,2,11,16,37,24
"Bedfordshire","Thames and Chiltern","2014-04-01","Apr",2014,"Q2_2014",0,23,1,1,0,9,2,6,2,6,6,5,16
"Cambridgeshire","East of England","2014-04-01","Apr",2014,"Q2_2014",0,23,3,0,1,10,0,1,2,9,2,6,4
"Cheshire","Mersey-Cheshire","2014-04-01","Apr",2014,"Q2_2014",1,47,3,3,0,4,2,9,10,7,6,12,1
"Cleveland","North East","2014-04-01","Apr",2014,"Q2_2014",0,41,4,10,2,32,2,8,7,27,5,17,10
"Cumbria","North West","2014-04-01","Apr",2014,"Q2_2014",0,19,1,1,0,6,0,2,2,2,1,10,12
"Derbyshire","East Midlands","2014-04-01","Apr",2014,"Q2_2014",0,57,6,3,3,15,9,7,9,4,15,13,16
"Devon and Cornwall","South West","2014-04-01","Apr",2014,"Q2_2014",0,50,4,1,0,10,0,6,6,20,14,17,15
"Dorset","Oxfordshire","2014-04-01","Apr",2014,"Q2_2014",0,16,0,1,0,11,2,4,2,3,1,7,5
"Durham","North East","2014-04-01","Apr",2014,"Q2_2014",0,26,4,0,1,19,5,7,2,13,3,3,0
"Dyfed Powys","Cymru/Wales","2014-04-01","Apr",2014,"Q2_2014",0,26,1,3,0,5,1,4,5,11,0,15,5
"Essex","East of England","2014-04-01","Apr",2014,"Q2_2014",0,68,7,12,2,10,4,15,1,3,11,21,20
"Gloucestershire","South West","2014-04-01","Apr",2014,"Q2_2014",0,13,1,0,1,8,2,1,3,2,6,5,11
"GreaterManchester","North West","2014-04-01","Apr",2014,"Q2_2014",0,103,16,15,8,22,7,19,15,20,13,68,47
"Gwent","Cymru/Wales","2014-04-01","Apr",2014,"Q2_2014",0,26,6,5,0,7,0,8,3,13,4,20,4
"Hampshire","Oxfordshire","2014-04-01","Apr",2014,"Q2_2014",0,88,10,8,5,26,6,12,13,18,21,24,22
"Hertfordshire","Thames and Chiltern","2014-04-01","Apr",2014,"Q2_2014",0,39,3,4,0,25,5,3,8,8,2,24,22
"Humberside","Yorkshire and Humberside","2014-04-01","Apr",2014,"Q2_2014",0,24,8,7,0,14,1,3,3,12,5,24,13
"Kent","South East","2014-04-01","Apr",2014,"Q2_2014",5,74,11,1,3,33,3,22,4,14,28,16,17
"Lancashire","North West","2014-04-01","Apr",2014,"Q2_2014",0,112,13,11,2,15,4,18,9,15,13,47,17
"Leicestershire","East Midlands","2014-04-01","Apr",2014,"Q2_2014",1,38,5,6,4,10,1,7,1,9,5,15,4
"Lincolnshire","East Midlands","2014-04-01","Apr",2014,"Q2_2014",0,18,1,2,0,11,1,0,2,8,5,14,11
"Merseyside","Mersey-Cheshire","2014-04-01","Apr",2014,"Q2_2014",0,60,2,7,5,25,1,9,9,32,14,26,21
"Metropolitan and City","Greater London","2014-04-01","Apr",2014,"Q2_2014",2,546,61,42,30,126,25,56,71,145,76,406,180
"Norfolk","East of England","2014-04-01","Apr",2014,"Q2_2014",0,43,2,2,0,14,1,5,3,9,5,15,9
"Northamptonshire","East Midlands","2014-04-01","Apr",2014,"Q2_2014",0,36,6,2,1,22,1,2,2,9,3,12,8
"Northumbria","North East","2014-04-01","Apr",2014,"Q2_2014",0,104,11,8,2,74,2,23,19,34,56,38,11
"North Wales","Cymru/Wales","2014-04-01","Apr",2014,"Q2_2014",0,31,6,1,0,10,1,7,2,2,10,19,2
"North Yorkshire","Yorkshire and Humberside","2014-04-01","Apr",2014,"Q2_2014",1,14,0,2,1,14,1,9,2,6,9,8,14
"Nottinghamshire","East Midlands","2014-04-01","Apr",2014,"Q2_2014",0,71,3,0,8,10,0,7,4,10,14,12,2
"South Wales","Cymru/Wales","2014-04-01","Apr",2014,"Q2_2014",0,88,7,3,0,17,1,2,0,11,7,75,11
"South Yorkshire","Yorkshire and Humberside","2014-04-01","Apr",2014,"Q2_2014",0,53,2,2,5,15,2,7,6,14,7,19,13
"Staffordshire","West Midlands","2014-04-01","Apr",2014,"Q2_2014",0,66,2,1,2,27,1,19,6,19,7,30,8
"Suffolk","East of England","2014-04-01","Apr",2014,"Q2_2014",0,20,0,5,1,5,1,3,1,6,7,9,5
"Surrey","South East","2014-04-01","Apr",2014,"Q2_2014",0,30,7,3,1,14,1,5,2,8,15,19,17
"Sussex","South East","2014-04-01","Apr",2014,"Q2_2014",0,42,8,5,0,17,5,6,4,13,28,19,17
"Thames Valley","Thames and Chiltern","2014-04-01","Apr",2014,"Q2_2014",0,114,10,6,6,24,3,11,9,20,10,32,40
"Warwickshire","West Midlands","2014-04-01","Apr",2014,"Q2_2014",0,11,1,0,0,3,0,2,1,4,3,16,0
"West Mercia","West Midlands","2014-04-01","Apr",2014,"Q2_2014",1,42,4,3,1,12,0,4,1,10,6,25,3
"West Midlands","West Midlands","2014-04-01","Apr",2014,"Q2_2014",3,223,9,19,16,47,1,22,18,33,42,49,16
"West Yorkshire","Yorkshire and Humberside","2014-04-01","Apr",2014,"Q2_2014",0,128,8,19,2,34,3,19,8,29,10,52,35
"Wiltshire","Oxfordshire","2014-04-01","Apr",2014,"Q2_2014",0,24,4,0,0,7,1,5,0,5,2,13,10
"Avon and Somerset","South West","2014-05-01","May",2014,"Q2_2014",0,55,17,6,0,19,1,14,5,14,16,57,15
"Bedfordshire","Thames and Chiltern","2014-05-01","May",2014,"Q2_2014",0,33,2,2,1,15,1,5,3,7,5,11,21
"Cambridgeshire","East of England","2014-05-01","May",2014,"Q2_2014",0,24,1,1,0,7,3,4,1,6,0,10,5
"Cheshire","Mersey-Cheshire","2014-05-01","May",2014,"Q2_2014",0,32,1,2,1,10,2,4,7,4,4,16,19
"Cleveland","North East","2014-05-01","May",2014,"Q2_2014",0,44,3,6,0,32,3,11,8,32,5,23,3
"Cumbria","North West","2014-05-01","May",2014,"Q2_2014",0,17,1,0,0,6,1,3,0,1,3,10,8
"Derbyshire","East Midlands","2014-05-01","May",2014,"Q2_2014",0,44,4,1,7,29,1,1,7,8,13,18,7
"Devon and Cornwall","South West","2014-05-01","May",2014,"Q2_2014",0,54,4,2,0,18,2,7,3,11,12,18,9
"Dorset","Oxfordshire","2014-05-01","May",2014,"Q2_2014",0,26,7,9,0,12,0,6,2,4,9,19,11
"Durham","North East","2014-05-01","May",2014,"Q2_2014",0,24,5,7,0,23,2,3,2,10,2,15,2
"Dyfed Powys","Cymru/Wales","2014-05-01","May",2014,"Q2_2014",0,13,2,0,0,3,0,6,1,6,2,13,3
"Essex","East of England","2014-05-01","May",2014,"Q2_2014",0,70,7,5,1,15,3,7,1,13,8,23,11
"Gloucestershire","South West","2014-05-01","May",2014,"Q2_2014",0,9,0,1,0,4,0,2,0,2,4,6,18
"GreaterManchester","North West","2014-05-01","May",2014,"Q2_2014",0,145,20,15,5,32,2,19,14,32,24,70,51
"Gwent","Cymru/Wales","2014-05-01","May",2014,"Q2_2014",0,31,4,4,0,10,0,2,4,9,11,8,4
"Hampshire","Oxfordshire","2014-05-01","May",2014,"Q2_2014",0,120,11,6,4,43,1,26,11,23,20,56,26
"Hertfordshire","Thames and Chiltern","2014-05-01","May",2014,"Q2_2014",0,47,3,3,5,26,1,3,10,19,10,31,10
"Humberside","Yorkshire and Humberside","2014-05-01","May",2014,"Q2_2014",0,26,10,5,4,22,3,5,1,2,4,16,12
"Kent","South East","2014-05-01","May",2014,"Q2_2014",1,43,7,5,0,31,5,9,11,5,20,22,37
"Lancashire","North West","2014-05-01","May",2014,"Q2_2014",0,88,8,8,6,29,0,18,6,15,8,50,26
"Leicestershire","East Midlands","2014-05-01","May",2014,"Q2_2014",0,44,4,2,4,9,6,6,4,6,5,22,5
"Lincolnshire","East Midlands","2014-05-01","May",2014,"Q2_2014",0,25,4,0,0,9,0,2,2,13,2,28,9
"Merseyside","Mersey-Cheshire","2014-05-01","May",2014,"Q2_2014",0,71,5,4,10,26,2,6,5,19,23,29,15
"Metropolitan and City","Greater London","2014-05-01","May",2014,"Q2_2014",11,499,62,67,35,144,30,56,59,159,88,351,176
"Norfolk","East of England","2014-05-01","May",2014,"Q2_2014",0,38,2,3,0,11,2,3,2,13,7,15,9
"Northamptonshire","East Midlands","2014-05-01","May",2014,"Q2_2014",0,42,4,2,0,20,3,9,6,3,5,9,11
"Northumbria","North East","2014-05-01","May",2014,"Q2_2014",0,126,15,5,2,85,6,35,27,35,48,57,16
"North Wales","Cymru/Wales","2014-05-01","May",2014,"Q2_2014",0,13,6,5,0,8,1,1,2,7,2,16,4
"North Yorkshire","Yorkshire and Humberside","2014-05-01","May",2014,"Q2_2014",0,12,1,2,1,9,0,5,6,11,7,8,5
"Nottinghamshire","East Midlands","2014-05-01","May",2014,"Q2_2014",5,67,9,7,4,17,4,9,5,23,10,18,9
"South Wales","Cymru/Wales","2014-05-01","May",2014,"Q2_2014",0,91,7,7,8,13,1,12,6,17,10,77,14
"South Yorkshire","Yorkshire and Humberside","2014-05-01","May",2014,"Q2_2014",0,52,4,4,4,27,3,4,2,9,5,18,11
"Staffordshire","West Midlands","2014-05-01","May",2014,"Q2_2014",0,60,4,4,7,22,4,10,4,25,7,35,7
"Suffolk","East of England","2014-05-01","May",2014,"Q2_2014",0,27,1,0,2,4,2,0,2,2,4,9,1
"Surrey","South East","2014-05-01","May",2014,"Q2_2014",0,30,9,6,0,15,2,6,5,5,16,22,10
"Sussex","South East","2014-05-01","May",2014,"Q2_2014",0,69,13,8,3,31,0,11,10,22,17,25,16
"Thames Valley","Thames and Chiltern","2014-05-01","May",2014,"Q2_2014",0,138,8,14,4,61,7,14,29,38,12,85,40
"Warwickshire","West Midlands","2014-05-01","May",2014,"Q2_2014",0,10,2,2,1,2,1,1,1,7,6,10,4
"West Mercia","West Midlands","2014-05-01","May",2014,"Q2_2014",0,38,3,9,8,11,8,6,6,11,5,31,7
"West Midlands","West Midlands","2014-05-01","May",2014,"Q2_2014",0,175,15,14,21,52,11,23,21,28,39,43,33
"West Yorkshire","Yorkshire and Humberside","2014-05-01","May",2014,"Q2_2014",0,91,12,11,10,42,1,28,9,30,4,41,18
"Wiltshire","Oxfordshire","2014-05-01","May",2014,"Q2_2014",0,21,3,3,6,13,2,4,2,5,8,5,8
"Avon and Somerset","South West","2014-06-01","Jun",2014,"Q2_2014",4,70,11,7,2,17,2,13,9,10,9,41,26
"Bedfordshire","Thames and Chiltern","2014-06-01","Jun",2014,"Q2_2014",0,22,5,0,1,9,1,4,3,3,2,9,7
"Cambridgeshire","East of England","2014-06-01","Jun",2014,"Q2_2014",0,27,1,1,0,4,1,2,0,2,3,8,7
"Cheshire","Mersey-Cheshire","2014-06-01","Jun",2014,"Q2_2014",0,50,1,7,1,9,1,5,9,5,4,14,5
"Cleveland","North East","2014-06-01","Jun",2014,"Q2_2014",0,28,4,5,2,28,0,5,1,35,10,10,1
"Cumbria","North West","2014-06-01","Jun",2014,"Q2_2014",0,12,0,0,1,8,0,4,2,3,5,7,9
"Derbyshire","East Midlands","2014-06-01","Jun",2014,"Q2_2014",0,47,2,3,1,19,0,6,9,8,12,15,7
"Devon and Cornwall","South West","2014-06-01","Jun",2014,"Q2_2014",0,62,1,7,2,15,3,15,3,12,14,25,12
"Dorset","Oxfordshire","2014-06-01","Jun",2014,"Q2_2014",0,15,3,1,0,5,0,4,1,6,2,8,10
"Durham","North East","2014-06-01","Jun",2014,"Q2_2014",0,24,3,3,0,14,1,5,2,8,5,7,1
"Dyfed Powys","Cymru/Wales","2014-06-01","Jun",2014,"Q2_2014",0,16,0,0,2,4,1,6,4,10,3,15,2
