"county_areas","region","date","month","year","quarter","rate_homicide_con","rate_offences_against_the_person_con","rate_sexual_offences_con","rate_burglary_con","rate_robbery_con","rate_theft_and_handling_con","rate_fraud_and_forgery_con","rate_criminal_damage_con","rate_drugs_offences_con","rate_public_order_offences_con","rate_all_other_offences_con","rate_motoring_offences_con"
"National","All Regions",2017-07-01,"Jul","2017","Q3_2017",83.3,79.5,74.6,86.9,80.4,92.2,87.4,88.7,93.4,85.5,87.3,84.3
"National","All Regions",2017-08-01,"Aug","2017","Q3_2017",73,79.2,74.7,85.4,80.1,91.4,86.1,87.8,92.4,85.3,86.1,86.1
"National","All Regions",2017-09-01,"Sep","2017","Q3_2017",90.8,78.1,74.4,86.7,82.2,91.5,85.4,87,93.8,86.2,85.7,84.4
"National","All Regions",2017-10-01,"Oct","2017","Q4_2017",82.7,78.8,73.8,88.2,74.2,92.4,87.1,86.9,94.3,86.4,87,85.8
"National","All Regions",2017-11-01,"Nov","2017","Q4_2017",77.8,78.6,74.4,88.2,82.7,92.6,86.7,85.2,93.6,86.1,87.1,85.3
"National","All Regions",2017-12-01,"Dec","2017","Q4_2017",80,79.5,74.7,89.1,78.8,92.4,87.3,84.3,93.4,86.8,86.6,86.5
"National","All Regions",2018-01-01,"Jan","2018","Q1_2018",74,79.4,74.5,85.8,79.6,92,87.8,86.3,93.8,86.4,89.5,86.9
"National","All Regions",2018-02-01,"Feb","2018","Q1_2018",84.7,78.9,76.6,88.9,82.6,93,87,85.6,93.4,86,88.3,85.3
"National","All Regions",2018-03-01,"Mar","2018","Q1_2018",83.3,79.1,75.4,86.4,81,92.4,86.9,85.6,92.8,86.2,89.3,85.4
"National","All Regions",2018-07-01,"Jul","2018","Q3_2018",83.3,79.5,74.6,86.9,80.4,92.2,87.4,88.7,93.4,85.5,87.3,84.3
"National","All Regions",2018-08-01,"Aug","2018","Q3_2018",73,79.2,74.7,85.4,80.1,91.4,86.1,87.8,92.4,85.3,86.1,86.1
"National","All Regions",2018-09-01,"Sep","2018","Q3_2018",90.8,78.1,74.4,86.7,82.2,91.5,85.4,87,93.8,86.2,85.7,84.4
"National","All Regions",2018-10-01,"Oct","2018","Q4_2018",82.7,78.8,73.8,88.2,74.2,92.4,87.1,86.9,94.3,86.4,87,85.8
"National","All Regions",2018-12-01,"Dec","2018","Q4_2018",80,79.5,74.7,89.1,78.8,92.4,87.3,84.3,93.4,86.8,86.6,86.5
